date,Salesforce,Docusign,Oracle,Shopify,Workday,Weekday
8/21/2024,66,77,80,83,88,4
8/22/2024,70,84,75,74,93,5
8/23/2024,58,73,68,68,83,6
8/24/2024,24,22,37,47,45,7
8/25/2024,16,17,33,46,41,1
8/26/2024,72,81,69,67,100,2
8/27/2024,69,85,73,74,90,3
8/28/2024,73,81,81,73,91,4
8/29/2024,66,79,88,72,89,5
8/30/2024,54,73,64,66,78,6
8/31/2024,18,22,42,45,36,7
9/1/2024,17,15,18,48,33,1
9/2/2024,22,26,21,58,41,2
9/3/2024,88,89,29,73,89,3
9/4/2024,93,97,33,77,92,4
9/5/2024,87,100,30,76,81,5
9/6/2024,76,91,27,68,71,6
9/7/2024,25,27,17,48,35,7
9/8/2024,17,17,17,48,33,1
9/9/2024,94,87,39,74,83,2
9/10/2024,93,92,43,75,80,3
9/11/2024,85,89,35,74,76,4
9/12/2024,85,100,41,74,78,5
9/13/2024,75,88,47,63,74,6
9/14/2024,27,26,23,52,34,7
9/15/2024,20,19,18,46,33,1
9/16/2024,90,86,33,71,82,2
9/17/2024,96,96,34,77,85,3
9/18/2024,100,89,36,76,81,4
9/19/2024,89,93,35,73,76,5
9/20/2024,78,89,32,66,72,6
9/21/2024,34,25,51,51,37,7
9/22/2024,21,20,21,46,33,1
9/23/2024,91,86,30,70,80,2
9/24/2024,87,91,34,76,81,3
9/25/2024,84,95,31,77,74,4
9/26/2024,80,99,31,72,75,5
9/27/2024,71,89,28,65,65,6
9/28/2024,27,24,16,48,39,7
9/29/2024,18,21,14,50,32,1
9/30/2024,79,84,26,66,77,2
10/1/2024,92,96,30,75,100,3
10/2/2024,83,91,31,76,78,4
10/3/2024,98,89,29,75,75,5
10/4/2024,78,84,26,66,69,6
10/5/2024,24,24,14,47,33,7
10/6/2024,18,18,12,48,31,1
10/7/2024,78,85,26,66,72,2
10/8/2024,84,98,27,71,71,3
10/9/2024,82,84,33,73,71,4
10/10/2024,76,87,42,71,73,5
10/11/2024,69,87,41,64,66,6
10/12/2024,24,26,17,48,34,7
10/13/2024,16,20,15,45,32,1
10/14/2024,74,74,29,69,68,2
10/15/2024,84,99,28,73,81,3
10/16/2024,85,88,31,70,77,4
10/17/2024,88,84,30,73,75,5
10/18/2024,72,79,27,65,65,6
